Row Labels,Average of Price ,Average of Max resolution,Average of Effective pixels,Average of Zoom tele (T),Average of Zoom wide (W)
DSC-F88,429.00,2592,5.00,114.00,38.00
DSC-L1,429.00,2304,4.00,96.00,32.00
DSC-M1,429.00,2592,5.00,114.00,38.00
DSC-P100,149.00,2592,5.00,114.00,38.00
DSC-P150,149.00,3072,7.00,114.00,38.00
DSC-P41,429.00,2272,3.00,33.00,33.00
DSC-P73,149.00,2272,3.00,117.00,39.00
DSC-P93,429.00,2592,5.00,114.00,38.00
DSC-T11,399.00,2592,5.00,114.00,38.00
DSC-T3,399.00,2592,5.00,114.00,38.00
DSC-V3,429.00,3072,7.00,136.00,34.00
DSC-W1,429.00,2592,5.00,114.00,38.00
2005,320.43,2755,5.71,136.29,36.57
DSC-H1,429.00,2592,5.00,432.00,36.00
DSC-M2,399.00,2592,5.00,114.00,38.00
DSC-N1,429.00,3264,8.00,114.00,38.00
DSC-P200,399.00,3072,7.00,114.00,38.00
DSC-R1,429.00,3888,10.00,120.00,24.00
DSC-S40,149.00,2304,4.00,96.00,32.00
DSC-S60,149.00,2304,4.00,117.00,39.00
DSC-S90,149.00,2304,4.00,117.00,39.00
DSC-T33,399.00,2592,5.00,114.00,38.00
DSC-T5,399.00,2592,5.00,114.00,38.00
DSC-T7,149.00,2592,5.00,114.00,38.00
DSC-T9,429.00,2816,6.00,114.00,38.00
DSC-W5,429.00,2592,5.00,114.00,38.00
DSC-W7,149.00,3072,7.00,114.00,38.00
2006,316.50,3085,7.25,155.75,33.92
DSC-H2,429.00,2816,6.00,432.00,36.00
DSC-H5,429.00,3072,7.00,432.00,36.00
DSC-N2,399.00,3264,10.00,114.00,38.00
DSC-S600,149.00,2816,6.00,93.00,31.00
DSC-T10,399.00,3072,7.00,114.00,38.00
DSC-T30,399.00,3072,7.00,114.00,38.00
DSC-T50,399.00,3072,7.00,114.00,38.00
DSC-W100,149.00,3264,8.00,114.00,38.00
DSC-W30,149.00,2816,6.00,114.00,38.00
DSC-W50,149.00,2816,6.00,114.00,38.00
DSC-W70,149.00,3072,7.00,114.00,38.00
DSLR-A100,599.00,3872,10.00,0.00,0.00
2007,362.13,3284,8.06,178.94,33.38
DSC-G1,429.00,2816,6.00,114.00,38.00
DSC-H3,429.00,3264,8.00,380.00,38.00
DSC-H7,429.00,3264,8.00,465.00,31.00
DSC-H9,429.00,3264,8.00,465.00,31.00
DSC-S650,149.00,3072,7.00,105.00,35.00
DSC-S700,149.00,3072,7.00,105.00,35.00
DSC-S800,149.00,3264,8.00,222.00,37.00
DSC-T100,399.00,3264,8.00,175.00,35.00
DSC-T20,399.00,3264,8.00,114.00,38.00
DSC-T200,399.00,3264,8.00,175.00,35.00
DSC-W200,399.00,4000,12.00,105.00,35.00
DSC-W35,429.00,3072,7.00,114.00,38.00
DSC-W55,429.00,3072,7.00,114.00,38.00
DSC-W80,149.00,3072,7.00,105.00,35.00
DSC-W90,429.00,3254,8.00,105.00,35.00
DSLR-A700,599.00,4272,12.00,0.00,0.00
Toshiba,149.00,1842,2.11,87.67,37.72
1998,62.00,1280,1.00,35.00,35.00
PDR-M1,62.00,1280,1.00,35.00,35.00
1999,62.00,1493,1.00,91.67,39.33
PDR-M3,62.00,1280,1.00,115.00,38.00
PDR-M4,62.00,1600,1.00,40.00,40.00
PDR-M5,62.00,1600,1.00,120.00,40.00
2000,255.50,1920,2.50,95.50,36.50
PDR-M60,449.00,1792,2.00,86.00,38.00
PDR-M70,62.00,2048,3.00,105.00,35.00
2001,94.86,1842,2.14,89.86,39.29
PDR-M11,62.00,1280,1.00,52.00,52.00
PDR-M21,177.00,1600,1.00,39.00,39.00
PDR-M25,177.00,1729,2.00,114.00,38.00
PDR-M61,62.00,1792,2.00,114.00,38.00
PDR-M65,62.00,2048,3.00,114.00,38.00
PDR-M71,62.00,2048,3.00,98.00,35.00
PDR-M81,62.00,2400,3.00,98.00,35.00
2002,161.00,1899,2.33,81.00,36.00
PDR-3310,177.00,2048,3.00,105.00,35.00
PDR-3330,177.00,2048,3.00,100.00,35.00
PDR-T10,129.00,1600,1.00,38.00,38.00
2003,388.00,2480,3.50,102.50,35.00
PDR-4300,599.00,2400,3.00,100.00,35.00
PDR-5300,177.00,2560,4.00,105.00,35.00
Grand Total,457.38,2475,4.60,121.53,32.96
